Wed Feb 26 00:55:38 MSK 2020 copy TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)Wed Feb 26 00:55:56 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@266474c2), logger=stateMachine.service.Logger@1d44bcfa)Wed Feb 26 00:57:42 MSK 2020 copy TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:57:47 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@266474c2), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:22 MSK 2020  down in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:00:11 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Open@4dc63996), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:00:31 MSK 2020  down in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Assigned@d716361), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:01:39 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=0, testerId=null, text=null, error=null, state=stateMachine.states.Open@6ff3c5b5), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:02:56 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:04:01 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:04:18 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Open@266474c2), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:06:39 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:13:34 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:13:56 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Open@266474c2), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 01:14:50 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=1, testerId=null, text=null, error=null, state=stateMachine.states.Assigned@6f94fa3e), logger=stateMachine.service.Logger@1d44bcfa)
